ID,Content,Aspect,Opinion,Sentiment
Verified Purchase,Scale looks sleek and collects metrics very quickly. Weight is spot on and unit uses non-skid feet to keep it in place. Weight is shown by default in kilograms. Scale includes batteries and tape measure.,Scale,sleek,NEG
Works Great!,Works good for our whole family,Works,good,POS
"Health Coach, rather than just a scale",Great scale with app showing many weight metrics! Very sturdy and works on carpet and hard floors.,scale,Great,POS
Verified Purchase,I love the quality of this scale.,quality,love,POS
